Class,Precision,Recall (Sensitivity),Specificity,F1-score
0,0.9322033898305084,0.9322033898305084,0.9800995024875622,0.9322033898305084
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,0.9545454545454546,0.9130434782608695,0.9906542056074766,0.9333333333333332
0,0.9354838709677419,0.9830508474576272,0.9800995024875622,0.9586776859504132
1,1.0,1.0,1.0,1.0
2,0.9814814814814815,1.0,0.9951690821256038,0.9906542056074767
3,1.0,1.0,1.0,1.0
4,1.0,0.9130434782608695,1.0,0.9545454545454545
0,0.9344262295081968,0.9661016949152542,0.9800995024875622,0.95
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,1.0,0.9130434782608695,1.0,0.9545454545454545
0,0.9344262295081968,0.9661016949152542,0.9800995024875622,0.95
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,1.0,0.9130434782608695,1.0,0.9545454545454545
0,0.9344262295081968,0.9661016949152542,0.9800995024875622,0.95
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,1.0,0.9130434782608695,1.0,0.9545454545454545
0,0.9344262295081968,0.9661016949152542,0.9800995024875622,0.95
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,1.0,0.9130434782608695,1.0,0.9545454545454545
0,0.9047619047619048,0.9661016949152542,0.9701492537313433,0.9344262295081968
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,1.0,0.8695652173913043,1.0,0.9302325581395349
0,0.9047619047619048,0.9661016949152542,0.9701492537313433,0.9344262295081968
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,1.0,0.8695652173913043,1.0,0.9302325581395349
0,0.9344262295081968,0.9661016949152542,0.9800995024875622,0.95
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,1.0,0.9130434782608695,1.0,0.9545454545454545
0,0.9333333333333333,0.9491525423728814,0.9800995024875622,0.9411764705882353
1,1.0,1.0,1.0,1.0
2,0.9636363636363636,1.0,0.9903381642512077,0.9814814814814815
3,1.0,1.0,1.0,1.0
4,0.9767441860465116,0.9130434782608695,0.9953271028037384,0.9438202247191011
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9866666666666667,0.9866666666666667,0.9962825278810409,0.9866666666666668
3,1.0,1.0,1.0,1.0
4,0.9666666666666667,0.9206349206349206,0.9928825622775801,0.943089430894309
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9866666666666667,0.9866666666666667,0.9962825278810409,0.9866666666666668
3,1.0,1.0,1.0,1.0
4,0.9666666666666667,0.9206349206349206,0.9928825622775801,0.943089430894309
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9866666666666667,0.9866666666666667,0.9962825278810409,0.9866666666666668
3,1.0,1.0,1.0,1.0
4,0.9666666666666667,0.9206349206349206,0.9928825622775801,0.943089430894309
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9736842105263158,0.9866666666666667,0.9925650557620818,0.9801324503311258
3,1.0,1.0,1.0,1.0
4,0.9661016949152542,0.9047619047619048,0.9928825622775801,0.9344262295081968
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9866666666666667,0.9866666666666667,0.9962825278810409,0.9866666666666668
3,1.0,1.0,1.0,1.0
4,0.9666666666666667,0.9206349206349206,0.9928825622775801,0.943089430894309
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9866666666666667,0.9866666666666667,0.9962825278810409,0.9866666666666668
3,1.0,1.0,1.0,1.0
4,0.9666666666666667,0.9206349206349206,0.9928825622775801,0.943089430894309
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9866666666666667,0.9866666666666667,0.9962825278810409,0.9866666666666668
3,1.0,1.0,1.0,1.0
4,0.9666666666666667,0.9206349206349206,0.9928825622775801,0.943089430894309
0,0.9493670886075949,0.9868421052631579,0.9850746268656716,0.967741935483871
1,1.0,1.0,1.0,1.0
2,0.9866666666666667,0.9866666666666667,0.9962825278810409,0.9866666666666668
3,1.0,1.0,1.0,1.0
4,0.9666666666666667,0.9206349206349206,0.9928825622775801,0.943089430894309
