client_id,round,epoch,epoch_time,total_fit_time,peak_ram_gb,peak_gpu_mem_mb,peak_gpu_util_pct
4,0,1,2.4740,3.0094,12.62,0.00,0.00
4,0,2,0.0874,3.0094,12.62,0.00,0.00
4,0,3,0.0867,3.0094,12.62,0.00,0.00
4,0,4,0.1250,3.0094,12.62,0.00,0.00
4,0,5,0.1302,3.0094,12.62,0.00,0.00
4,0,1,0.1557,1.0024,12.63,0.00,0.00
4,0,2,0.1701,1.0024,12.63,0.00,0.00
4,0,3,0.1794,1.0024,12.63,0.00,0.00
4,0,4,0.1757,1.0024,12.63,0.00,0.00
4,0,5,0.1283,1.0024,12.63,0.00,0.00
4,0,1,0.1568,1.5061,12.65,0.00,0.00
4,0,2,0.2361,1.5061,12.65,0.00,0.00
4,0,3,0.1727,1.5061,12.65,0.00,0.00
4,0,4,0.1617,1.5061,12.65,0.00,0.00
4,0,5,0.1592,1.5061,12.65,0.00,0.00
4,0,1,0.1455,1.5054,12.65,0.00,0.00
4,0,2,0.2187,1.5054,12.65,0.00,0.00
4,0,3,0.2194,1.5054,12.65,0.00,0.00
4,0,4,0.1814,1.5054,12.65,0.00,0.00
4,0,5,0.1522,1.5054,12.65,0.00,0.00
4,0,1,0.1170,1.0021,12.65,0.00,0.00
4,0,2,0.1578,1.0021,12.65,0.00,0.00
4,0,3,0.1431,1.0021,12.65,0.00,0.00
4,0,4,0.1208,1.0021,12.65,0.00,0.00
4,0,5,0.1226,1.0021,12.65,0.00,0.00
4,0,1,0.1172,1.0033,12.65,0.00,0.00
4,0,2,0.1398,1.0033,12.65,0.00,0.00
4,0,3,0.1471,1.0033,12.65,0.00,0.00
4,0,4,0.1318,1.0033,12.65,0.00,0.00
4,0,5,0.1169,1.0033,12.65,0.00,0.00
4,0,1,0.1228,1.0021,12.66,0.00,0.00
4,0,2,0.1389,1.0021,12.66,0.00,0.00
4,0,3,0.1339,1.0021,12.66,0.00,0.00
4,0,4,0.1366,1.0021,12.66,0.00,0.00
4,0,5,0.1240,1.0021,12.66,0.00,0.00
4,0,1,0.1245,1.0041,12.65,0.00,0.00
4,0,2,0.1489,1.0041,12.65,0.00,0.00
4,0,3,0.1760,1.0041,12.65,0.00,0.00
4,0,4,0.1675,1.0041,12.65,0.00,0.00
4,0,5,0.1259,1.0041,12.65,0.00,0.00
4,0,1,3.2142,6.0236,12.88,0.00,0.00
4,0,2,0.6921,6.0236,12.88,0.00,0.00
4,0,3,0.7059,6.0236,12.88,0.00,0.00
4,0,4,0.6531,6.0236,12.88,0.00,0.00
4,0,5,0.5611,6.0236,12.88,0.00,0.00
4,0,1,0.7195,3.5079,12.88,0.00,0.00
4,0,2,0.7041,3.5079,12.88,0.00,0.00
4,0,3,0.6403,3.5079,12.88,0.00,0.00
4,0,4,0.5989,3.5079,12.88,0.00,0.00
4,0,5,0.5803,3.5079,12.88,0.00,0.00
4,0,1,0.7636,4.0135,12.85,0.00,0.00
4,0,2,1.1978,4.0135,12.85,0.00,0.00
4,0,3,0.6149,4.0135,12.85,0.00,0.00
4,0,4,0.6069,4.0135,12.85,0.00,0.00
4,0,5,0.6163,4.0135,12.85,0.00,0.00
4,0,1,0.6475,3.5076,12.85,0.00,0.00
4,0,2,0.6892,3.5076,12.85,0.00,0.00
4,0,3,0.5733,3.5076,12.85,0.00,0.00
4,0,4,0.6854,3.5076,12.85,0.00,0.00
4,0,5,0.5618,3.5076,12.85,0.00,0.00
4,0,1,0.6487,3.5070,12.87,0.00,0.00
4,0,2,0.6265,3.5070,12.87,0.00,0.00
4,0,3,0.6915,3.5070,12.87,0.00,0.00
4,0,4,0.5842,3.5070,12.87,0.00,0.00
4,0,5,0.5756,3.5070,12.87,0.00,0.00
4,0,1,0.6906,4.0183,12.88,0.00,0.00
4,0,2,0.7292,4.0183,12.88,0.00,0.00
4,0,3,0.6110,4.0183,12.88,0.00,0.00
4,0,4,0.6459,4.0183,12.88,0.00,0.00
4,0,5,0.9324,4.0183,12.88,0.00,0.00
4,0,1,0.7510,4.0065,12.94,0.00,0.00
4,0,2,1.3040,4.0065,12.94,0.00,0.00
4,0,3,0.6061,4.0065,12.94,0.00,0.00
4,0,4,0.5767,4.0065,12.94,0.00,0.00
4,0,5,0.5762,4.0065,12.94,0.00,0.00
4,0,1,0.6451,3.5070,12.93,0.00,0.00
4,0,2,0.6989,3.5070,12.93,0.00,0.00
4,0,3,0.5916,3.5070,12.93,0.00,0.00
4,0,4,0.5986,3.5070,12.93,0.00,0.00
4,0,5,0.7188,3.5070,12.93,0.00,0.00
4,0,1,2.9648,7.0157,13.09,0.00,0.00
4,0,2,1.2402,7.0157,13.09,0.00,0.00
4,0,3,0.8517,7.0157,13.09,0.00,0.00
4,0,4,1.0230,7.0157,13.09,0.00,0.00
4,0,5,0.3881,7.0157,13.09,0.00,0.00
4,0,1,0.6812,4.0073,13.09,0.00,0.00
4,0,2,0.7421,4.0073,13.09,0.00,0.00
4,0,3,0.6534,4.0073,13.09,0.00,0.00
4,0,4,0.7296,4.0073,13.09,0.00,0.00
4,0,5,0.6213,4.0073,13.09,0.00,0.00
4,0,1,0.6523,3.5075,12.78,0.00,0.00
4,0,2,0.6942,3.5075,12.78,0.00,0.00
4,0,3,0.6618,3.5075,12.78,0.00,0.00
4,0,4,0.6464,3.5075,12.78,0.00,0.00
4,0,5,0.6285,3.5075,12.78,0.00,0.00
4,0,1,0.6179,3.5110,12.65,0.00,0.00
4,0,2,0.6222,3.5110,12.65,0.00,0.00
4,0,3,0.7412,3.5110,12.65,0.00,0.00
4,0,4,0.5418,3.5110,12.65,0.00,0.00
4,0,5,0.8647,3.5110,12.65,0.00,0.00
4,0,1,0.6712,3.5064,12.68,0.00,0.00
4,0,2,0.6906,3.5064,12.68,0.00,0.00
4,0,3,0.6632,3.5064,12.68,0.00,0.00
4,0,4,0.6773,3.5064,12.68,0.00,0.00
4,0,5,0.6417,3.5064,12.68,0.00,0.00
4,0,1,0.6334,3.5071,12.68,0.00,0.00
4,0,2,0.6991,3.5071,12.68,0.00,0.00
4,0,3,0.6805,3.5071,12.68,0.00,0.00
4,0,4,0.6455,3.5071,12.68,0.00,0.00
4,0,5,0.6386,3.5071,12.68,0.00,0.00
4,0,1,0.7074,4.0070,12.70,0.00,0.00
4,0,2,1.2390,4.0070,12.70,0.00,0.00
4,0,3,0.6363,4.0070,12.70,0.00,0.00
4,0,4,0.6752,4.0070,12.70,0.00,0.00
4,0,5,0.3539,4.0070,12.70,0.00,0.00
4,0,1,0.6393,3.5100,12.70,0.00,0.00
4,0,2,0.6978,3.5100,12.70,0.00,0.00
4,0,3,0.6344,3.5100,12.70,0.00,0.00
4,0,4,0.6281,3.5100,12.70,0.00,0.00
4,0,5,0.6263,3.5100,12.70,0.00,0.00
4,0,1,0.6415,4.0072,12.72,0.00,0.00
4,0,2,0.7704,4.0072,12.72,0.00,0.00
4,0,3,0.6134,4.0072,12.72,0.00,0.00
4,0,4,0.7400,4.0072,12.72,0.00,0.00
4,0,5,0.6919,4.0072,12.72,0.00,0.00
4,0,1,0.6167,3.5054,12.64,0.00,0.00
4,0,2,0.6398,3.5054,12.64,0.00,0.00
4,0,3,0.6621,3.5054,12.64,0.00,0.00
4,0,4,0.6652,3.5054,12.64,0.00,0.00
4,0,5,0.6345,3.5054,12.64,0.00,0.00
